"","year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile","SGP_Fees","SGP_PR_Fees"
"371",2020,"Nanyang Technological University","College of Science","Physics and Applied Physics",92.6,48.5,3643,3600,3719,3700,3500,3850,8200,11500
"372",2020,"Nanyang Technological University","Sports Science and Management","Sports Science and Management",91.5,52.5,3494,3240,3661,3300,3000,4200,8200,11500
"373",2020,"Nanyang Technological University","National Institute of Education (NIE)","Arts with Education",100,98.4,3582,3798,3682,3799,3600,3806,8200,11500
"374",2020,"Nanyang Technological University","National Institute of Education (NIE)","Science with Education",100,100,3660,3799,3744,3800,3700,4000,8200,11500
"375",2020,"Nanyang Technological University","Lee Kong Chian School of Medicine","Medicine",100,100,4775,4700,5387,5250,5000,5900,34700,49000
"376",2020,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts",90.4,39.8,3639,3100,3868,3300,2700,3600,8200,11500
"377",2020,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts (Hons)",93.1,54.2,3529,3500,3586,3500,3300,3854,8200,11500
"378",2020,"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Social Sciences",93.5,65.3,3597,3500,3666,3500,3345,3875,8200,11500
"379",2020,"National University of Singapore","Faculty of Dentistry","Bachelor of Dental Surgery",100,100,4202,4200,4280,4200,4200,4600,29300,42300
"380",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Biomedical Engineering)",95.8,53.1,3500,3500,3577,3500,3300,3740,8200,11500
"381",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Chemical Engineering)",97,78.2,3955,4000,4155,4000,3700,4500,8200,11500
"382",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Civil Engineering)",95.5,86.5,3661,3500,3739,3590,3500,4050,8200,11500
"383",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Electrical Engineering)",91,75.4,4256,4000,4370,4200,3800,5000,8200,11500
"384",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Engineering Science)",91.3,73.9,4499,4000,4584,4000,3765,5000,8200,11500
"385",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Environmental Engineering)",100,63.2,3473,3500,3572,3500,3250,3875,8200,11500
"386",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Industrial and Systems Engineering)",97.2,93,4236,4010,4337,4380,3700,4800,8200,11500
"387",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Materials Science and Engineering)",90.3,66.1,3795,3700,3922,3900,3600,4200,8200,11500
"388",2020,"National University of Singapore","Faculty of Engineering","Bachelor of Engineering (Mechanical Engineering)",94.2,69.6,3832,3700,3946,3800,3500,4200,8200,11500
"389",2020,"National University of Singapore","Faculty of Law","Bachelor of Laws",91.8,86.8,4848,4640,5009,5000,4400,5600,12650,17700
"390",2020,"National University of Singapore","Faculty of Science","Bachelor of Science",86,42.1,3195,3000,3297,3100,3000,3650,8200,11500
"391",2020,"National University of Singapore","Faculty of Science","Bachelor of Science (Hons)",93.1,57.4,3636,3500,3723,3528,3300,4000,8200,11500
"392",2020,"National University of Singapore","Faculty of Science","Bachelor of Science (Computational Biology)",80,40,4563,4525,4625,4650,4250,5000,8200,11500
"393",2020,"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmacy)",99.3,93.7,3590,3600,3751,3700,3500,3950,9050,12700
"394",2020,"National University of Singapore","Faculty of Science","Bachelor of Science (Data Science and Analytics)",100,78.3,4417,4125,4456,4125,3900,4900,8200,11500
"395",2020,"National University of Singapore","NUS Business School","Bachelor of Business Administration",96.3,66.7,4910,4000,5043,4150,3300,6100,9600,13450
"396",2020,"National University of Singapore","NUS Business School","Bachelor of Business Administration (Hons)",94.9,80.7,4459,4000,4579,4000,3600,5000,9600,13450
"397",2020,"National University of Singapore","NUS Business School","Bachelor of Business Administration (Accountancy)",90.9,63.6,4443,3500,4443,3500,2800,5500,9600,13450
"398",2020,"National University of Singapore","NUS Business School","Bachelor of Business Administration (Accountancy) (Hons)",96.8,92.1,3951,3400,4050,3500,3000,4425,9600,13450
"399",2020,"National University of Singapore","School of Computing","Bachelor of Computing (Computer Science)",97.1,92.6,5576,5100,5735,5243,4400,6316,8200,11500
"400",2020,"National University of Singapore","School of Computing","Bachelor of Computing (Information Security)",90.9,90.9,4620,4650,4746,5000,4200,5300,8200,11500
"401",2020,"National University of Singapore","School of Computing","Bachelor of Computing (Information Systems)",98.6,93.1,4591,4495,4764,4500,4000,5400,8200,11500
"402",2020,"National University of Singapore","School of Computing","Bachelor of Science (Business Analytics)",98,84.3,4985,5000,5094,5000,4480,5800,8200,11500
"403",2020,"National University of Singapore","School of Design & Environment","Bachelor of Arts (Architecture)",94,91,3984,4000,4058,4000,3650,4300,8850,12400
"404",2020,"National University of Singapore","School of Design & Environment","Bachelor of Arts (Industrial Design)",90.3,22.6,3417,3500,3417,3500,3000,3500,8200,11500
"405",2020,"National University of Singapore","School of Design & Environment","Bachelor of Science (Project and Facilities Management)",92.2,66.7,3338,3200,3400,3200,3000,3500,8200,11500
"406",2020,"National University of Singapore","School of Design & Environment","Bachelor of Science (Real Estate)",95.1,68.6,3609,3600,3682,3630,3200,4000,8200,11500
"407",2020,"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Medicine and Bachelor of Surgery",100,100,4688,4700,5306,5250,5000,5800,29300,42300
"408",2020,"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Science (Nursing)",97.4,92.2,3269,3250,3489,3500,3250,3680,8950,12550
"409",2020,"National University of Singapore","Yong Loo Lin School (Medicine)","Bachelor of Science (Nursing) (Hons)",98.5,97,3371,3400,3616,3600,3500,3750,8950,12550
"410",2020,"National University of Singapore","YST Conservatory of Music","Bachelor of Music",69.2,15.4,3163,3125,3238,3275,3125,3350,14200,20600
"411",2020,"Singapore Management University","School of Accountancy (4-year programme)","Accountancy",94.7,86,3636,3050,3694,3100,3000,4000,11450,16000
"412",2020,"Singapore Management University","School of Accountancy (4-year programme)","Accountancy Cum Laude and above",96.3,86.1,3979,3600,4057,3744,3000,4583,11450,16000
"413",2020,"Singapore Management University","School of Business (4-year programme)","Business Management",95.8,68.4,4183,3800,4293,3850,3440,4600,11450,16000
"414",2020,"Singapore Management University","School of Business (4-year programme)","Business Management Cum Laude and above",97.5,78.7,4596,4000,4688,4000,3600,5000,11450,16000
"415",2020,"Singapore Management University","School of Economics (4-year programme)","Economics",91.5,70.5,4181,3750,4290,3800,3400,4500,11450,16000
"416",2020,"Singapore Management University","School of Economics (4-year programme)","Economics Cum Laude and above",94.7,82.9,4670,4000,4749,4000,3660,5275,11450,16000
"417",2020,"Singapore Management University","School of Information Systems (4-year programme)","Information Systems",93.1,83.9,4548,4500,4683,4542,4000,5400,11450,16000
"418",2020,"Singapore Management University","School of Information Systems (4-year programme)","Information Systems Cum Laude and above",93.3,93.3,4903,5000,5064,5000,4500,5416,11450,16000
"419",2020,"Singapore Management University","School of Social Sciences (4-year programme)","Social Sciences",89.9,52.8,3540,3360,3626,3500,3200,4000,11450,16000
"420",2020,"Singapore Management University","School of Social Sciences (4-year programme)","Social Sciences Cum Laude and above",90.6,65.6,3711,3510,3784,3510,3230,4200,11450,16000
"421",2020,"Singapore Management University","School of Law (4-year programme)","Law",95.5,91.1,4729,4500,4804,4588,4000,5600,12650,17700
"422",2020,"Singapore Management University","School of Law (4-year programme)","Law Cum Laude and above",97,95.5,5053,5000,5141,5000,4500,5735,12650,17700
"423",2020,"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Early Childhood Education",100,88.2,2879,3000,2879,3000,2700,3016,30000,62880
"424",2020,"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Human Resource Management",90.6,22.6,2947,2750,3051,2950,2650,3300,30000,62880
"425",2020,"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Social Work",97.3,89.2,3443,3500,3486,3500,3450,3655,30000,62880
"426",2020,"Singapore University of Social Sciences","School of Business","Bachelor of Accountancy",94.6,81.7,3059,3000,3116,3000,3000,3000,33440,66880
"427",2020,"Singapore University of Social Sciences","School of Business","Bachelor of Science in Finance",100,50,3537,3163,3854,3163,2850,4466,30000,62880
"428",2020,"Singapore University of Social Sciences","School of Business","Bachelor of Science in Marketing",92.1,51.3,3126,2900,3246,2900,2750,3520,30000,62880
"429",2020,"Singapore University of Social Sciences","School of Business","Bachelor of Science in Supply Chain Management",88,36,3125,3100,3284,3185,2950,3500,30000,62880
"430",2020,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Engineering (Engineering Product Development)",94.6,82.1,3809,3800,3901,3800,3500,4150,13300,18750
"431",2020,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Engineering (Engineering Systems and Design)",95.2,77.1,4195,3950,4287,4000,3725,4900,13300,18750
"432",2020,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Engineering (Information Systems Technology and Design)",96.9,85.4,4581,4500,4734,4500,4000,5000,13300,18750
"433",2020,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Science (Architecture and Sustainable Design)",100,95.6,3897,3800,3982,3800,3500,4070,13300,18750
